year,month,rainfall,date
1955,8,86.0,1955-08-01
1955,9,59.2,1955-09-01
1955,10,79.0,1955-10-01
1955,11,66.95,1955-11-01
1955,12,45.4,1955-12-01
1956,1,42.2,1956-01-01
1956,2,5.6,1956-02-01
1956,3,197.85000000000002,1956-03-01
1956,4,91.30000000000001,1956-04-01
1956,5,29.549999999999997,1956-05-01
1956,6,78.1,1956-06-01
1956,7,10.55,1956-07-01
1956,8,5.949999999999999,1956-08-01
1956,9,168.3,1956-09-01
1956,10,50.1,1956-10-01
1956,11,57.1,1956-11-01
1956,12,14.799999999999999,1956-12-01
1957,1,32.0,1957-01-01
1957,2,114.6,1957-02-01
1957,3,25.4,1957-03-01
1957,4,110.6,1957-04-01
1957,5,168.0,1957-05-01
1957,6,63.4,1957-06-01
1957,7,28.8,1957-07-01
1957,8,51.2,1957-08-01
1957,9,8.8,1957-09-01
1957,10,84.8,1957-10-01
1957,11,359.0,1957-11-01
1957,12,212.2,1957-12-01
1958,1,3.8,1958-01-01
1958,2,51.8,1958-02-01
1958,3,24.6,1958-03-01
1958,4,152.6,1958-04-01
1958,5,9.6,1958-05-01
1958,6,161.0,1958-06-01
1958,7,38.0,1958-07-01
1958,8,22.8,1958-08-01
1958,9,16.4,1958-09-01
1958,10,102.0,1958-10-01
1958,11,159.6,1958-11-01
1958,12,215.0,1958-12-01
1959,1,6.2,1959-01-01
1959,2,10.0,1959-02-01
1959,3,177.6,1959-03-01
1959,4,146.0,1959-04-01
1959,5,134.35,1959-05-01
1959,6,26.4,1959-06-01
1959,7,0.2,1959-07-01
1959,8,124.2,1959-08-01
1959,9,110.0,1959-09-01
1959,10,196.6,1959-10-01
1959,11,158.95,1959-11-01
1959,12,357.25,1959-12-01
1960,1,68.2,1960-01-01
1960,2,125.2,1960-02-01
1960,3,116.15,1960-03-01
1960,4,36.4,1960-04-01
1960,5,40.25,1960-05-01
1960,6,63.6,1960-06-01
1960,7,30.8,1960-07-01
1960,8,33.0,1960-08-01
1960,9,233.55,1960-09-01
1960,10,337.65,1960-10-01
1960,11,132.6,1960-11-01
1960,12,184.85,1960-12-01
1961,1,60.35,1961-01-01
1961,2,0.8,1961-02-01
1961,3,0.4,1961-03-01
1961,4,163.8,1961-04-01
1961,5,40.0,1961-05-01
1961,6,91.4,1961-06-01
1961,7,24.2,1961-07-01
1961,8,1.0,1961-08-01
1961,9,30.25,1961-09-01
1961,10,450.2,1961-10-01
1961,11,285.8,1961-11-01
1961,12,59.2,1961-12-01
1962,1,35.400000000000006,1962-01-01
1962,2,56.3,1962-02-01
1962,3,55.3,1962-03-01
1962,4,94.6,1962-04-01
1962,5,47.3,1962-05-01
1962,6,15.95,1962-06-01
1962,7,11.4,1962-07-01
1962,8,5.6,1962-08-01
1962,9,32.6,1962-09-01
1962,10,113.0,1962-10-01
1962,11,293.4,1962-11-01
1962,12,26.2,1962-12-01
1963,1,115.6,1963-01-01
1963,2,37.4,1963-02-01
1963,3,94.0,1963-03-01
1963,4,220.6,1963-04-01
1963,5,31.0,1963-05-01
1963,6,81.7,1963-06-01
