year	month	rainfall
1990	Jan	99.4
1990	Feb	50.4
1990	Mar 	22.9
1990	Apr	254.9
1990	May	26.8
1990	Jun	38.3
1990	Jul	5.5
1990	Aug	133.0
1990	Sep	49.2
1990	Oct	343.4
1990	Nov	175.4
1990	Dec	186.3
1991	Jan	121.9
1991	Feb	89.2
1991	Mar 	78.1
1991	Apr	42.4
1991	May	110.3
1991	Jun	77.7
1991	Jul	20.7
1991	Aug	8.7
1991	Sep	98.1
1991	Oct	258.0
1991	Nov	171.9
1991	Dec	16.7
1992	Jan	57.1
1992	Feb	115.2
1992	Mar 	16.0
1992	Apr	188.2
1992	May	17.6
1992	Jun	212.2
1992	Jul	83.9
1992	Aug	131.3
1992	Sep	122.4
1992	Oct	394.5
1992	Nov	102.1
1992	Dec	202.1
1993	Jan	51.6
1993	Feb	12.4
1993	Mar 	81.8
1993	Apr	105.2
1993	May	40.6
1993	Jun	25.6
1993	Jul	6.6
1993	Aug	55.8
1993	Sep	249.8
1993	Oct	310.3
1993	Nov	192.8
1993	Dec	104.6
1994	Jan	220.4
1994	Feb	103.2
1994	Mar 	12.8
1994	Apr	185.0
1994	May	86.6
1994	Jun	69.4
1994	Jul	4.4
1994	Aug	11.4
1994	Sep	239.2
1994	Oct	103.0
1994	Nov	329.8
1994	Dec	160.4
1995	Jan	170.8
1995	Feb	183.0
1995	Mar 	79.2
1995	Apr	123.6
1995	May	199.6
1995	Jun	139.6
1995	Jul	8.0
1995	Aug	120.4
1995	Sep	160.8
1995	Oct	90.4
1995	Nov	140.8
1995	Dec	266.4
1996	Jan	378.8
1996	Feb	177.8
1996	Mar 	34.8
1996	Apr	153.6
1996	May	106.3
1996	Jun	55.4
1996	Jul	20.8
1996	Aug	55.9
1996	Sep	177.5
1996	Oct	125.7
1996	Nov	309.9
1996	Dec	271.8
1997	Jan	178.2
1997	Feb	31.0
1997	Mar 	15.2
1997	Apr	191.1
1997	May	15.8
1997	Jun	102.0
1997	Jul	29.4
1997	Aug	17.0
1997	Sep	10.2
1997	Oct	58.6
1997	Nov	230.0
1997	Dec	287.8
1998	Jan	240.9
1998	Feb	31.9
1998	Mar 	21.6
1998	Apr	202.2
1998	May	103.8
1998	Jun	34.0
1998	Jul	0.7
1998	Aug	20.9
1998	Sep	227.0
1998	Oct	279.1
1998	Nov	98.3
1998	Dec	43.8
1999	Jan	185.0
1999	Feb	38.4
1999	Mar 	194.4
1999	Apr	130.8
1999	May	30.6
1999	Jun	29.2
1999	Jul	14.4
1999	Aug	36.0
1999	Sep	176.8
1999	Oct	340.0
1999	Nov	142.0
1999	Dec	189.0
2000	Jan	23.1
2000	Feb	21.6
2000	Mar 	112.6
2000	Apr	98.7
2000	May	24.6
2000	Jun	61.0
2000	Jul	22.3
2000	Aug	76.0
2000	Sep	76.9
2000	Oct	371.8
2000	Nov	530.5
2000	Dec	165.0
2001	Jan	300.1
2001	Feb	38.4
2001	Mar 	329.5
2001	Apr	106.5
2001	May	44.0
2001	Jun	0.0
2001	Jul	46.5
2001	Aug	15.0
2001	Sep	142.5
2001	Oct	117.0
2001	Nov	86.0
2001	Dec	12.0
2002	Jan	
2002	Feb	
2002	Mar 	25.0
2002	Apr	54.0
2002	May	144.0
2002	Jun	49.0
2002	Jul	77.0
2002	Aug	195.0
2002	Sep	164.0
2002	Oct	166.0
2002	Nov	203.0
2002	Dec	237.0
2003	Jan	161.0
2003	Feb	10.0
2003	Mar 	0.0
2003	Apr	113.0
2003	May	21.0
2003	Jun	12.0
2003	Jul	18.0
2003	Aug	37.0
2003	Sep	61.0
2003	Oct	154.0
2003	Nov	142.0
2003	Dec	256.5
2004	Jan	65.8
2004	Feb	181.4
2004	Mar 	149.2
2004	Apr	118.4
2004	May	110.8
2004	Jun	50.2
2004	Jul	4.4
2004	Aug	3.4
2004	Sep	47.0
2004	Oct	201.4
2004	Nov	118.8
2004	Dec	154.0
2005	Jan	42.2
2005	Feb	54.4
2005	Mar 	44.0
2005	Apr	132.2
2005	May	50.8
2005	Jun	31.0
2005	Jul	27.6
2005	Aug	93.2
2005	Sep	104.0
2005	Oct	120.6
2005	Nov	143.4
2005	Dec	195.0
2006	Jan	157.0
2006	Feb	153.6
2006	Mar 	128.0
2006	Apr	19.4
2006	May	24.8
2006	Jun	4.6
2006	Jul	10.6
2006	Aug	68.2
2006	Sep	119.2
2006	Oct	121.6
2006	Nov	75.0
2006	Dec	144.2
2007	Jan	182.6
2007	Feb	138.6
2007	Mar 	37.2
2007	Apr	6.6
2007	May	121.6
2007	Jun	50.4
2007	Jul	4.0
2007	Aug	107.4
2007	Sep	44.6
2007	Oct	100.6
2007	Nov	116.2
2007	Dec	74.8
2008	Jan	211.8
2008	Feb	82.6
2008	Mar 	79.0
2008	Apr	214.0
2008	May	86.6
2008	Jun	146.6
2008	Jul	18.0
2008	Aug	1.8
2008	Sep	47.8
2008	Oct	143.6
2008	Nov	282.8
2008	Dec	251.6
2009	Jan	295.6
2009	Feb	202.6
2009	Mar 	250.2
2009	Apr	107.4
2009	May	24.2
2009	Jun	48.4
